chr	start	end	AA	BB
chr01	20888	575188	0.6588692543206722	0.32483316927647604
chr01	588070	1028777	0.5949110262779576	0.40457276561077526
chr01	1052663	1669829	0.660475619187844	0.304031486253555
chr01	1669865	2257245	0.6308934291503878	0.4044893413957753
chr01	2257264	2818863	0.5805194271300356	0.3725646068783322
chr01	2924896	3455814	0.6079546700461408	0.37588899938115844
chr01	3455843	4491404	0.6880014997104785	0.29705794228838794
chr01	4491438	5366091	0.6559007304939379	0.315246287019257
chr01	5366108	5863220	0.6580913129611194	0.3405747738050927
chr01	5884590	6295175	0.6721481362730948	0.3338706691323015
chr01	6295222	6834959	0.7866602484467269	0.23845570780954747
chr01	6840051	7575864	0.7021753122917782	0.2970191717298331
chr01	7590535	8326592	0.6579214046273179	0.34438344584327096
chr01	8326595	9148665	0.7363983718818677	0.26211999336912534
chr01	9155449	10016186	0.6816406934906954	0.3270467991384488
chr01	10033928	10275541	0.5728062981721528	0.41407896073872186
chr01	10275565	10909464	0.726060397443901	0.28502440225968284
chr01	10939653	11505393	0.6600752556965404	0.28836424038929603
chr01	11540096	12439606	0.6878062953215727	0.31192160128110585
chr01	12439620	13016109	0.7529301757144993	0.2684582052061235
chr01	13259710	14062440	0.6430359962403741	0.34089070808924626
chr01	14217541	15460485	0.6192253721781326	0.3842003400406716
chr01	15460494	17578362	0.6963441525492067	0.3066158756718307
chr01	17658310	19969661	0.735971631741747	0.3063887942068875
chr01	20088208	21238227	0.7243569064462231	0.30134962457205716
chr01	21238230	24367022	0.6713960118249144	0.33775564987385753
chr01	24372322	26036096	0.6731985631010143	0.3457552559519871
chr01	26036108	27901202	0.5758372198958693	0.469853734838178
chr01	27901203	28733184	0.6272630974244119	0.4292878173891097
chr02	2432380	6990124	0.6807141801389425	0.3578935091449902
chr02	7134966	10068190	0.7257730503211984	0.28093700399563404
chr02	10068205	13347917	0.685575841643782	0.2946361539909117
chr02	13478051	14152159	0.6222940604780389	0.38932930326931564
chr02	14152176	15511789	0.6795308064547679	0.33668797318919114
chr02	15569877	16419286	0.6970551999074316	0.2814711795369185
chr02	16419338	17139305	0.7209858512488718	0.31807370002353486
chr02	17215130	17722345	0.6343347313424126	0.34938924255944837
chr02	17745247	18407661	0.6701806831997985	0.34557145746047
chr02	18475960	18807933	0.6704477756914382	0.32379470244131553
chr02	18825341	19586655	0.6038894495838811	0.3666178196495659
chr02	19586682	20031522	0.693610896405489	0.31799810947596746
chr02	20031525	20482430	0.7534666917466353	0.2517589721089791
chr02	20487004	20917473	0.6408218222667504	0.3703172532509083
chr02	20918353	21745579	0.6014470497974027	0.36784379986878335
chr02	21793957	22572319	0.7219363173180817	0.2828584985267402
chr02	22572336	22871356	0.6030735807798976	0.3985504689976246
chr02	22871390	23445730	0.673898033667661	0.3076555318826493
chr02	23450786	24133608	0.6547229029680011	0.3641141501382644
chr02	24133623	24759947	0.5809495794068297	0.4090431518914684
chr02	24759991	25296647	0.6959893364394552	0.30607270084533805
chr02	25296663	25867782	0.6665265798418144	0.3586874672692948
chr02	25867786	26373322	0.7525123600256273	0.230445870168312
chr02	26375001	26697917	0.7198105412753917	0.28916491386093435
chr02	26756568	27431260	0.6252753711387148	0.3266520260414231
chr02	27466357	27795179	0.5529893767092566	0.3681150862160108
chr02	27807162	28337518	0.656217824792365	0.33907069443669713
chr02	28337523	29088201	0.7671789274863341	0.24742887756705886
chr02	29095438	29433233	0.7266988233140923	0.29222189044358393
chr02	29433234	29438438	0.7433455058872449	0.27407198109224495
chr03	108194	690129	0.7412912644808298	0.24187046938316356
chr03	697045	1068625	0.7416116244794289	0.2710253124286976
chr03	1068640	1434586	0.7165516380651102	0.2788336972534444
chr03	1470675	2226625	0.6806822323150333	0.3040053737943282
chr03	2259506	2892426	0.5836374408059571	0.4165327104653203
chr03	2892444	3295017	0.6841574082279805	0.28623772989848817
chr03	3371813	4208599	0.7071160870712516	0.31727639276881947
chr03	4298050	4871220	0.6679098118369327	0.3212868062689273
chr03	4871241	5609797	0.6985055109314612	0.2783966699674054
chr03	5609817	6467458	0.6609240149960329	0.3339461706351815
chr03	6635379	7083482	0.6992813640595271	0.30490763589437364
