chr	start	end	V	T	S	E	B	A_z	A_u	A_s	A_m	A_j	A_b
chr01	1145	189582	0.001671983513048138	0.014082301923852172	0.0016386866759508464	0.0013674465827640853	0.0038902063764059782	0.058597566358296854	0.0021923951646755035	0.008798522393643739	0.4014006603777824	0.012061359880567479	0.3527728324472107
chr01	189593	356965	0.0012441961973068657	0.012867234592909085	0.0018101312755326665	0.0017270424296430091	0.00435131229312956	0.00268902132925984	0.0071427497495147475	0.011486956229487073	0.36705114442912284	0.004709995775514617	0.35022169249595875
chr01	356968	488069	0.0011179557674005532	0.010035172902205201	0.000759432489203596	0.0011550963612845108	0.001965791655027472	0.007022531984797983	0.0008062938840970877	0.007182579669170105	0.49845614223123025	0.0016387290311573948	0.5400179219637962
chr01	488097	633373	0.002678217164025965	0.010470727908771585	0.003896031529700906	0.0013040401215188703	0.0017983799560290499	0.029986411885166056	0.006063664596273292	0.0120043144316716	0.31709122022344916	0.001479307137874913	0.4809756119128173
chr01	633381	787835	0.0007889207116982866	0.00573865862591947	0.0012750582656369826	0.0015081730818723633	0.001980062635830646	0.0020723196430524208	0.0004930867899383641	0.012632360084428881	0.4213052597071816	0.0024975187311778494	0.4806892399696269
chr01	787839	929640	0.0016563299398055966	0.010079068794289076	0.0008145082506482695	0.0011985852370439863	0.0069300796276397444	0.010204255192252064	0.006512846119008486	0.087357854667329	0.38159776449981536	0.0008869922554133081	0.4844302676193871
chr01	929656	1204183	0.00029720577445079926	0.006181356403072944	0.0009242044393826312	0.002485061849615995	0.009661577747806445	0.00865228874888176	0.0010388947263930142	0.0039139633894304795	0.6921224260845312	0.0022583348421970854	0.47740952895172756
chr01	1204195	1345150	0.003071658939437922	0.009420155630309263	0.002154911670584963	0.0010757764527459359	0.012174703326497716	0.020960617791962583	0.0014797936146250753	0.03865152504003537	0.3889088754250866	0.001143344483449186	0.437641739880544
chr01	1345164	1540325	0.0013265538703545671	0.005965557713749038	0.0007085042766251084	0.0011215352564184892	0.0035078418365347116	0.008355578853328908	0.0003618500564029157	0.0050458055966172135	0.3926799866602859	0.027294680893599137	0.3534998163733304
chr01	1540331	1706883	0.002095984554200961	0.008134765867087211	0.0022524700189674807	0.001638945009485001	0.003931542522448241	0.10902594000105026	0.0026983039614334875	0.008458846233772525	0.4580070215027621	0.1299605059062378	0.28643555121281916
chr01	1706907	1839631	0.0013787037802021154	0.00582897383600979	0.021767663110125762	0.0019233117820424987	0.004914181302290611	0.0335351048378856	0.011542197079913502	0.010115601464261282	0.36499350872141256	0.03214546036810692	0.3376526752160875
chr01	1839669	1984690	0.0021924986210700497	0.008984958982339246	0.001221349194941713	0.0011908317954077124	0.005217580431752659	0.04971805913791844	0.0007213587080747361	0.032874960758501694	0.5010526719684408	0.08655805125950732	0.4334512016265845
chr01	1984700	2127240	0.0003439114144252643	0.0076294147133327125	0.0011833114237680103	0.0012339975470870076	0.0019115254571087632	0.010463148105377521	0.0016935881150854251	0.07913389962865827	0.6622469755996192	0.002484643134202553	0.49005093804812094
chr01	2127246	2263794	0.0015226555472716687	0.00880512343203871	0.0009491101402218957	0.001166851458497186	0.00547455485871172	0.007659251280470562	0.0008960581248771235	0.009688903606047117	0.41945143974464694	0.00160479406629086	0.4712197890137169
chr01	2263796	2407883	0.0011957874909709516	0.009070257600541122	0.005541553914327605	0.0012839057692965213	0.005523312685170424	0.003365200775429602	0.0006373256373256373	0.006283037465086232	0.32314021013761973	0.0017747757966834622	0.4636266866660573
chr01	2407934	2552546	0.0009121004165340551	0.00400376727183325	0.0012420583948647337	0.0017839175069842836	0.002153913477459232	0.013368189854751834	0.0007958622824908825	0.01685013033298407	0.35687214280292173	0.028620720820398682	0.4250304615115307
chr01	2552561	2686217	0.004295213391122011	0.0059393419322688904	0.0045221314897865746	0.0021185395887226796	0.0036219391135881886	0.006799016333185761	0.0007637768708489131	0.009113723059450712	0.45144337311291266	0.016823999583847712	0.3480130276153337
chr01	2686224	2835951	0.0005581154198862355	0.007585676460536567	0.009620477071391702	0.000997892129609836	0.00596172991579342	0.0032221283733878925	0.001093398097232659	0.008948204892082309	0.3651605839914487	0.002441916160403555	0.4986972688213233
chr01	2835952	2965296	0.0036087220964386695	0.0038353580170690993	0.005995981826422558	0.0012174756021510811	0.005195058554618873	0.018498340629396252	0.0009364144799975755	0.027405985877733362	0.3794977148453729	0.002148812371049978	0.38571831929261347
chr01	2965304	3092617	0.002636970783181736	0.007632414663900148	0.0005223585349286819	0.0019530570639957933	0.004149465576407167	0.007941508959045503	0.0019312976458491678	0.015288967520757105	0.4961454180124258	0.002201353823581312	0.32189315107028543
chr01	3092621	3274971	0.002142059335366256	0.007134862613686078	0.0022835156686658153	0.0010300949854121664	0.007221638646490195	0.005016609522704674	0.0018715199574574574	0.014705663000099699	0.27920696177708465	0.0016373156982776036	0.3290746002932588
chr01	3274974	3406937	0.00038252591706539074	0.010378803947803729	0.2527759212510481	0.0012289844472851072	0.00340044349376596	0.004531635740573746	0.0016777061941418922	0.01075954701178709	0.38237731704840217	0.0023896373065711452	0.19166728335268043
chr01	3406945	3530041	0.0005772541517710728	0.010627640547466333	0.004643472258283029	0.0011581581340920626	0.006555752526351731	0.003929587201039779	0.0	0.004518557491165576	0.35308794810432675	0.002053489129357728	0.4893027967762544
chr01	3530066	3660078	0.0008354611138966675	0.009157795216672242	0.0010460360107136875	0.0009358521644638553	0.002788903086568041	0.010646973532367491	0.0009261665625848655	0.029551472824745295	0.36326843403455594	0.03467472952208336	0.47460169082615195
chr01	3660080	3825243	0.0007062562932694919	0.007043174665300499	0.0006620545596152269	0.0009534012830706665	0.006008581061002662	0.0015280307760938805	0.0	0.03130614508909811	0.40376849695253425	0.008724427088590034	0.47550239540747513
